Year,Country,Medals
1980,Russia,195
1980,Germany,126
1980,Bulgaria,41
1980,Hungary,32
1980,Poland,32
1980,Romania,25
1980,UK,21
1980,Cuba,20
1980,Italy,15
1980,Czech Republic,14
1980,France,14
1980,Sweden,12
1980,Australia,9
1980,Serbia,9
1980,Finland,8
1980,Spain,6
1980,Denmark,5
1980,North Korea,5
1980,Austria,4
1980,Brazil,4
1980,Ethiopia,4
1980,Mexico,4
1980,Mongolia,4
1980,Greece,3
1980,Jamaica,3
1980,Netherlands,3
1980,Ireland,2
1980,Switzerland,2
1980,Tanzania,2
1980,Belgium,1
1980,Guyana,1
1980,India,1
1980,Lebanon,1
1980,Uganda,1
1980,Venezuela,1
1980,Zimbabwe,1
1984,USA,173
1984,Germany,59
1984,Romania,52
1984,Canada,44
1984,UK,37
1984,China,32
1984,Italy,32
1984,Japan,31
1984,France,28
1984,Australia,24
1984,South Korea,19
1984,Sweden,19
1984,Serbia,18
1984,Netherlands,13
1984,Finland,12
1984,New Zealand,11
1984,Brazil,8
1984,Switzerland,8
1984,Denmark,6
1984,Mexico,6
1984,Spain,5
1984,Belgium,4
1984,Austria,3
1984,Jamaica,3
1984,Kenya,3
1984,Norway,3
1984,Portugal,3
1984,Turkey,3
1984,Venezuela,3
1984,Algeria,2
1984,Greece,2
1984,Morocco,2
1984,Nigeria,2
1984,Puerto Rico,2
1984,Cameroon,1
1984,Colombia,1
1984,Dominican Republic,1
1984,Egypt,1
1984,Iceland,1
1984,Ireland,1
1984,Ivory Coast,1
1984,Pakistan,1
1984,Peru,1
1984,Syria,1
1984,Taiwan,1
1984,Thailand,1
1984,Zambia,1
1988,Germany,142
1988,Russia,131
1988,USA,94
1988,Bulgaria,35
1988,South Korea,33
1988,China,28
1988,Romania,24
1988,UK,24
1988,Hungary,23
1988,France,16
1988,Poland,16
1988,Australia,14
1988,Italy,14
1988,Japan,14
1988,New Zealand,13
1988,Serbia,12
1988,Sweden,11
1988,Canada,10
1988,Kenya,9
1988,Netherlands,9
1988,Czech Republic,8
1988,Brazil,6
1988,Norway,5
1988,Denmark,4
1988,Finland,4
1988,Spain,4
1988,Switzerland,4
1988,Morocco,3
1988,Argentina,2
1988,Belgium,2
1988,Jamaica,2
1988,Mexico,2
1988,Turkey,2
1988,Austria,1
1988,Chile,1
1988,Colombia,1
1988,Costa Rica,1
1988,Curacao,1
1988,Djibouti,1
1988,Greece,1
1988,Indonesia,1
1988,Iran,1
1988,Mongolia,1
1988,Pakistan,1
1988,Peru,1
1988,Philippines,1
1988,Portugal,1
1988,Senegal,1
1988,Suriname,1
1988,Thailand,1
1988,"Virgin Islands, US",1
1992,Russia,112
1992,USA,108
1992,Germany,82
1992,China,53
1992,Cuba,31
1992,Hungary,30
1992,France,29
1992,South Korea,28
1992,Australia,27
1992,Japan,22
1992,Spain,22
1992,UK,20
1992,Italy,19
1992,Poland,19
1992,Canada,18
1992,Romania,18
1992,Bulgaria,16
1992,Netherlands,15
1992,Sweden,12
1992,New Zealand,10
1992,North Korea,9
1992,Kenya,8
1992,Czech Republic,7
1992,Norway,7
1992,Denmark,6
1992,Turkey,6
1992,Finland,5
1992,Indonesia,5
1992,Jamaica,4
1992,Nigeria,4
1992,Belgium,3
1992,Brazil,3
1992,Croatia,3
1992,Ethiopia,3
1992,Individual Olympic Athletes,3
1992,Iran,3
1992,Latvia,3
1992,Morocco,3
1992,Algeria,2
1992,Austria,2
1992,Estonia,2
1992,Greece,2
1992,Ireland,2
1992,Israel,2
1992,Lithuania,2
1992,Mongolia,2
1992,Namibia,2
1992,Slovenia,2
1992,South Africa,2
1992,Argentina,1
1992,Bahamas,1
1992,Colombia,1
1992,Ghana,1
1992,Malaysia,1
1992,Mexico,1
1992,Pakistan,1
1992,Peru,1
1992,Philippines,1
1992,Puerto Rico,1
1992,Qatar,1
1992,Suriname,1
1992,Switzerland,1
1992,Taiwan,1
1992,Thailand,1
1996,USA,101
1996,Germany,65
1996,Russia,63
1996,China,51
1996,Australia,41
1996,France,37
1996,Italy,35
1996,South Korea,27
1996,Cuba,25
1996,Ukraine,23
1996,Canada,22
1996,Hungary,21
1996,Netherlands,19
1996,Romania,19
1996,Poland,17
1996,Spain,17
1996,Belarus,15
1996,Brazil,15
1996,Bulgaria,15
1996,UK,15
1996,Japan,14
1996,Czech Republic,11
1996,Kazakhstan,11
1996,Greece,8
1996,Kenya,8
1996,Sweden,8
1996,Norway,7
1996,Switzerland,7
1996,Belgium,6
1996,Denmark,6
1996,Jamaica,6
1996,New Zealand,6
1996,Nigeria,6
1996,Turkey,6
1996,North Korea,5
1996,South Africa,5
1996,Finland,4
1996,Indonesia,4
1996,Ireland,4
1996,Serbia,4
1996,Algeria,3
1996,Argentina,3
1996,Austria,3
1996,Ethiopia,3
1996,Iran,3
1996,Slovakia,3
1996,Armenia,2
1996,Croatia,2
1996,Georgia,2
1996,Malaysia,2
1996,Moldova,2
1996,Morocco,2
1996,Namibia,2
1996,Portugal,2
1996,Slovenia,2
1996,Thailand,2
1996,Trinidad,2
1996,Uzbekistan,2
1996,Azerbaijan,1
1996,Bahamas,1
1996,Burundi,1
1996,Costa Rica,1
1996,Ecuador,1
1996,India,1
1996,Israel,1
1996,Latvia,1
1996,Lithuania,1
1996,Mexico,1
1996,Mongolia,1
1996,Mozambique,1
1996,Philippines,1
1996,Puerto Rico,1
1996,Syria,1
1996,Taiwan,1
